Reporting Year,Building ID,MapLot,Year Added,Annual Report Received,Report Type,Buildings Included,Parent Building ID,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2)
2017,266-20,143-17,2015,Yes,Single,,,1785 Cambridge St,"1785 Cambridge St
Cambridge, MA
(42.375452406, -71.11395899)",Nonresidential,College/University,1878,119575,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1302396,4443777,10758,1075800,,,,,,,2878999,17235411,,25633986,26211326,214,219,38696956,39418112,324,330,1733,15,4057,34
2018,44-8,265D-52,2015,Yes,Single,,,30 Cambridgepark Dr,"30 Cambridgepark Dr
Cambridge, MA",Multifamily Housing,Multifamily Housing,2002,364990,Hart Cambridge Llc,"C/O Heitman Capital Management Llc,",100,1749627.7,5969730.4,,,,,,,,,,,,8468116.1,,23.2,,21368258.4,,58.5,,590.4,1.6,7777.3,21.31
2016,444-21,134-59,2015,Yes,Single,,,1033 Massachusetts Ave,"1033 Massachusetts Ave
Cambridge, MA
(42.369715706, -71.112151484)",Nonresidential,Office,1974,85470,Presidents & Fellows Of Harvard College,C/O Harvard Real Estate Services,86,1037880.6,3541249.1,31985.640073,3198564,,,,,,,,,,6739813.1,6593293.7,78.9,77.1,14478014.3,14279394.8,169.4,167.1,512.5,6,1416,16.57
2017,345-6,169-84,2016,Yes,Single,,,66 Church St,"43 Brattle St
Cambridge, MA
(42.373789973, -71.121296966)",Nonresidential,Mixed Use Property,1929,19535,"Digiovanni, John P. Trustee Of",45 Brattle Street Realty Trust.,,110353,376525,5356,535639,,,,,,,,,,912164,966456,47,50,1744711,1790182,89,92,61,3,6,0
2017,681-5,128-64,2016,No,Single,,,339 River St,"339 Putnam Ave
Cambridge, MA
(42.361504475, -71.113472016)",Nonresidential,,,,Acadia Cambridge LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,539-2,119-8,2015,Yes,Single,,,872 Massachusetts Ave,"872 Massachusetts Ave
Cambridge, MA
(42.367676901, -71.107505201)",Residential,Multifamily Housing,1964,94000,Cambridge Tower Corporation,,69,457742.9,1561819.1,69159.58135,6915958.1,,,,,,,,,,8477777.2,8460210.3,90.2,90,12165867.9,12147422.6,129.4,129.2,518.4,5.5,3429,
2016,699-25,56-8,2015,Yes,Single,,,120 Albany St,"138 Albany St
Cambridge, MA
(42.360279863, -71.097170915)",Nonresidential,College/University,1955,49933,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2028479.8,6921173.8,8630.0016,863000.2,,0,,,,,4693834.3,2118156,,14596164.2,,292.3,,29880698.9,,598.4,,1103.4,22.1,9481.6,
2016,567-6,76-96,2015,Yes,Single,,,225 Windsor Street,"225 Windsor Street
Cambridge, MA
(42.365929923, -71.095915581)",Municipal,K-12 School,1982,83221,City Of Cambridge,,62,407249,1389533.7,1192.60736,119260.7,,4348655.6,,,,,,,,5857450.1,5799815.5,70.4,69.7,8880501.8,8821195.2,106.7,106,463.5,5.6,,
2018,551-3,90-95,2015,Yes,Single,,,222 Harvard St,"135 Norfolk St
Cambridge, MA",Worship Facility,Worship Facility,1890,29571,Roman Catholic Archbishop Of Boston,Corporation Sole,,61495.6,209822.9,9122.329347,912232.9,,,,,,,,,,1122055.8,1177907.8,37.9,1177907.8,1616688.4,1679302.5,54.7,1679302.5,64.5,2.2,,
2017,318-2,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"21 Harvard Yard
Cambridge, MA
(42.374584151, -71.118650805)",Nonresidential,Residence Hall/Dormitory,1870,57869,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",84,302812,1033194,2799,279932,,,,,,,,1732354,,3045480,3170838,53,55,5622250,5772162,97,100,218,4,1720,30
2018,241-17,144-1,2015,Yes,Single,,,2 Oxford St,"11 Divinity Ave
Cambridge, MA",College/University,College/University,1876,105891,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,938578,3202428.4,,,,,,,,,3438955.6,2721868.4,,9363252.4,9442464.3,88.4,9442464.3,16769100.3,16872541.8,158.4,16872541.8,607.5,5.7,230.4,2.18
2018,513-2,131-65,2015,Yes,Child,"513-1, 513-2",,933 Memorial Dr,"933 Memorial Dr
Cambridge, MA",Residence Hall/Dormitory,Residence Hall/Dormitory,1930,195680,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1549756.4,5287769.6,18357.99985,1835800,,,,,,,,7359998.7,,14483568.3,,74,,27385567.4,,140,,991.6,5.1,2655.6,13.57
2018,46-3,267.3-28,2015,Yes,Parent,"46-3, 46-10, 46-9",,89 Blanchard Rd,"32 Normandy Ave
Cambridge, MA",Multifamily Housing,Multifamily Housing,1974,79000,"Di Giovanni, Vincent A.","Antonio Di Giovanni, Trs Of",,84680.2,288928.8,10951.00022,1095100,,,,,,,,,,1384028.8,1384028.8,17.5,1384028.8,2057091.5,2057091.5,26,2057091.5,80.3,1,3162.8,40.03
2016,669-6,70-34,2015,Yes,Single,,,30 State St,"265 Massachusetts Ave
Cambridge, MA
(42.361889235, -71.097738649)",Nonresidential,College/University,1964,103874,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1266177.6,4320198.4,76952.9865,7695298.6,,,,,,,,,,12015497,,115.7,,21645486.6,,208.4,,826.7,8,325.4,
2016,368-14,114A-67,2015,Yes,Single,,,1384 Cambridge Street,"1384 Cambridge Street
Cambridge, MA
(42.37369174, -71.100806851)",Municipal,Fire Station,1913,16728,City Of Cambridge,,,47794.7,163075.7,7599.4991805,759949.9,,,,,,,,,,923025.6,902440.8,55.2,53.9,1310005,1281979.7,78.3,76.6,56.1,3.4,7480.5,
2018,568-1,42-86,2016,Yes,Single,,,205 Broadway,"207 Broadway
Cambridge, MA",Laboratory,Laboratory,1999,39014,"Bmr-Hampshire Llc,",,,402540,1373466.5,17237.00032,1723700,,,,,,,,,,3097166.6,3169218.4,79.4,3169218.4,6122569.9,6182472.5,156.9,6182472.5,196.9,5,201.3,5.16
2018,184-4,208-15,2015,Yes,Child,"184-1, 184-2, 184-3, 184-8, 184-4, 184-5, 184-6, 184-7, 188-2, 188-1",,4-46 Fernald Dr,"38 Fernald Dr
Cambridge, MA",Multifamily Housing,Multifamily Housing,1949,202814,President & Fellows Of Harvard College,C/O Harvard Resl Estate Inc,97,594982,2030078.9,81308.84979,8130885,,,,,,,,,,10160963.9,10501223.5,50.1,10501223.5,14911877.1,15297417.5,73.5,15297417.5,587.5,2.9,7232.7,35.66
2017,319-15,169-94,2015,Yes,Single,,,57 Brattle St,"7 Appian Way
Cambridge, MA
(42.375185893, -71.121969273)",Nonresidential,College/University,1910,4688,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,26897,91771,2516,251579,,,,,,,,,,343349,360788,73,77,552318,570628,118,122,21,5,68,15
2018,658-1,71-56,2015,Yes,Parent,"658-1, 658-2",,700 Main St,"700 Main St
Cambridge, MA",Laboratory,Laboratory,1998,169032,"Mit 650 Main Street, Llc",,,8106834.9,27660524.1,516163.8427,51616384.3,,,,,,,,,,79276908.4,80653220.1,469,80653220.1,141051249.2,141756532.3,834.5,141756532.3,4862.4,28.8,4299.9,25.44
2018,349-1,136-39,2016,Yes,Single,,,391 Harvard St,"391 Harvard St
Cambridge, MA",College/University,College/University,2006,20923,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,131874.8,449956.9,1885.548378,188554.8,,,,,,,,914451.6,,1552963.4,1608976.9,74.2,1608976.9,2710970.3,2777962.7,129.6,2777962.7,105.2,5,296.3,14.16
2017,307-13,170-19,2015,Yes,Single,,,67 Brattle St,"69 Brattle St
Cambridge, MA
(42.375121009, -71.122601756)",Nonresidential,College/University,1838,5506,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,28137,96003,2392,239213,,,,,,,,,,335216,352242,61,64,552623,570501,100,104,21,4,24,4
2016,201-16,227-90,2015,Yes,Single,,,47 Concord Ave,"60 Garden St
Cambridge, MA
(42.381771417, -71.126495006)",Nonresidential,Fitness Center/Health Club/Gym,1980,59701,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,380120.4,1296970.9,7877.663288,787766.3,,,,,,,,,,2084737.3,2076136.7,34.9,34.8,4899643.4,4889711.8,82.1,81.9,167.3,2.8,174.1,
2017,560-25,130-144,2015,Yes,Child,"560-1,560-19, 560-20, 560-21, 560-22, 560-23, 560-25, 560-3, 560-31",,900 Memorial Dr,"900 Memorial Dr
Cambridge, MA
(42.365054749, -71.115951391)",Nonresidential,Multifamily Housing,1964,489826,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",64,2487256,8486519,3587,358701,,,,,,,,27632230,,36477450,,75,,60267014,,123,,2579,5,21671,44
2016,591-15,43-65,2015,Yes,Single,,,11 Cambridge Ctr,"145 Broadway
Cambridge, MA
(42.364898436, -71.08952002)",Nonresidential,Office,1984,79616,"Barrett, David, Edward H. Linde &","Mortimer B. Zuckerman,Trs. Of Eleven",83,8295589.2,28304553.8,,,,,,,,,,,,28304553.8,28304553.8,355.5,355.5,88876299.1,88876299.1,1116.3,1116.3,2738.3,34.4,3368.5,42.31
2016,512-2,9-90,2015,Yes,Child,"512-4, 512-2",,2-14 Monsignor Obrien Hwy,"1 Science Pk
Cambridge, MA
(42.368011255, -71.07129682)",Nonresidential,Museum,1951,460555,Museum Of Science,,,7122015.7,24300320.4,215176.66278,21517666.3,,,,,,,,,,52754222,53910854.6,114.5,117.1,107241131.8,106722014.4,232.9,231.7,3954.4,8.6,10392,22.56
2017,375-3,35-100,2017,Yes,Child,,,3 Lambert St,"3 Lambert St
Cambridge, MA
(42.372606258, -71.086763008)",Nonresidential,Multifamily Housing,1974,182387,Cambridge Housing Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,89-9,264-34,2015,Yes,Single,,,247 Garden Street,"247 Garden St
Cambridge, MA
(42.386502844, -71.13569939)",Residential,Multifamily Housing,1972,21137,Briston Arms Perservation Associates,Limited Partnership,,172708,589279.7,3630.999945,363100,,,,,,,,,,952379.7,936782.6,45.1,44.3,2231593.3,2183293.7,105.6,103.3,76.3,3.6,1550.4,
2016,682-28,104-130,2015,Yes,Child,"682-23, 682-28, 268-27",,9 Fairmont St,"9 Woodrow Wilson Ct
Cambridge, MA
(42.362029742, -71.110333536)",Residential,Multifamily Housing,1949,72970,Cambridge Housing Authority,,59,301930,1030185.2,47417.00025,4741700,,,,,,,,,,5771885.2,5761144.8,79.1,79,8213566.6,8202289.1,112.6,112.4,351.5,4.8,3664.7,50.22
2016,417-28,39-179,2016,Yes,Single,,,278 Cardinal Medeiros Ave,"1900 One Kendall Square Complex
Cambridge, MA
(42.365876916, -71.091281216)",Nonresidential,Movie Theater,1988,25800,"Dwf Iv One Kendall Garage, Llc",Attn: NXS 300372-FAONEK,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,620-89,14-1038,2015,Yes,Single,,,350 Third St,"250 Kendall
Cambridge, MA
(42.363811444, -71.083070448)",Nonresidential,Multifamily Housing,2013,155196,"Cambridge Research Park, LLC",C/O Neil Duncan Chief Finance Officer,48,1473050,5026046,26631,2663129,,,,,,,,,,7689175,7839302,50,51,18578071,18692614,120,120,571,4,6077,39
2017,214-12,156-97,2015,Yes,Single,,,85 Oxford St,"85 Oxford St
Cambridge, MA
(42.382374483, -71.116290949)",Municipal,K-12 School,1995,69340,Cambridge City Of,School Dept,81,532243,1816014,21637,2163728,,,,,,,,,,3979741,4126549,57,60,7974197,8087196,115,117,270,4,,
2016,245-42,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",,676-694 Huron Ave,"33 Fresh Pond Pl
Cambridge, MA
(42.380136826, -71.153480628)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
2016,201-17,227-90,2015,Yes,Child,"201-19, 201-17",,47 Concord Ave,"60 Garden St
Cambridge, MA
(42.381771417, -71.126495006)",Nonresidential,Laboratory,1972,78999,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,2538343.1,8660827.8,74094.7826,7409478.3,,,,,,,,,,16070306,16003818.5,203.4,202.6,34974951.4,34797887.8,442.7,440.5,1231.4,15.6,1961.9,
2016,226-37,156-26,2015,Yes,Single,,,1637-1653 Massachusetts Avenue,"1637 Massachusetts Ave
Cambridge, MA
(42.381023364, -71.119765342)",Residential,Residence Hall/Dormitory,2007,10820,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",94,71476.1,243876.6,1241.933099,124193.3,,,,,,,,,,368069.9,367817.5,34,34,896175.4,895561.6,82.8,82.8,30.2,2.8,460.3,
2017,662-10,69-110,2015,Yes,Child,"662-9, 662-10",,282-290 Massachusetts Ave,"282 Massachusetts Ave
Cambridge, MA
(42.362024879, -71.098068639)",Nonresidential,College/University,1968,39470,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,215840,736446,23538,2353800,,,,,,,,,,3090246,,78,,4783931,,121,,188,5,1127,29
2017,688-5,68-47,2015,Yes,Child,"688-1, 688-3, 688-5",,254 Massachusetts Ave,"1 Cross St
Cambridge, MA
(42.360413175, -71.097494941)",Nonresidential,Laboratory,2003,527874,Novartis Institutes For,"Biomedical Research, Inc.",,23968473,81780439,217217,21721689,,,,,,,,,,103502128,102966923,196,195,279598352,277917807,530,527,8141,15,19230,36
2018,168-1,234-178,2016,Yes,Single,,,275 Fresh Pond Pkwy,"275 Fresh Pond Pkwy
Cambridge, MA",Automobile Dealership,Automobile Dealership,1953,25772,"Fresh Pond Realty, L.L.C.",C/O 275 Frsh Pond Llc,,322640,1100847.7,11176.99949,1117699.9,,,,,,,,,,2218547.6,2267636,86.1,2267636,4630246.7,4660485.6,179.7,4660485.6,143.8,5.6,223.4,8.67
2018,707-6,95-74,2016,Yes,Single,,,167 Sidney St,"167 Sidney St
Cambridge, MA",Laboratory,Laboratory,1965,26589,"Mit 170/171 Sidney Llc C/O ARE Equities,",C/O ARE-Ma Region No.23 Llc,1,1204894.5,4111100.4,76922.99979,7692300,,,,,,,,,,11803400.4,11937258.1,443.9,11937258.1,20985770.2,21049597.9,789.3,21049597.9,723.8,27.2,853.6,32.1
2017,584-2,107-136,2015,Yes,Single,,,675 Massachusetts Ave,"130 Bishop Allen Dr
Cambridge, MA
(42.366528966, -71.103536741)",Nonresidential,Office,1961,47627,U.S. Reif Central Plaza Mass. LLC.,C/O Intercontinental Mgmt Corp,75,522992,1784449,18078,1807800,,,,,,,,,,3592249,3710249,75,78,7501359,7625259,158,160,233,5,617,13
2016,411-20,80-165,2015,Yes,Child,"411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor Street,"1 Citizens Pl
Cambridge, MA
(42.371629658, -71.095065046)",Residential,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Meredith Ma Corp,62,250558.7,854906.4,38365.99781,3836599.8,,,,,,,,,,4691506.2,4611172,91.4,89.8,6712835.9,6598501,130.7,128.5,286.5,5.6,2454.4,
2017,457-13,132-152,2015,Yes,Parent,"457-13, 457-7",,20 Dewolfe St,"20 Dewolfe St
Cambridge, MA
(42.37010978, -71.116624505)",Nonresidential,Multifamily Housing,1991,65035,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
2018,668-6,52A-21,2015,Yes,Single,,,60 Vassar St,"182-R Memorial Dr
Cambridge, MA",College/University,College/University,1933,91926,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1486785.4,5072912.4,1494.99985,149500,,,,,,,6266568.2,14458146.4,,25947126.9,,282.3,,39746232.2,,432.4,,1687.1,18.4,939,10.21
2016,253-8,157-69,2015,Yes,Single,,,1525-1587 Massachusetts Ave,"20 Everett St
Cambridge, MA
(42.379845019, -71.118780697)",Residential,Residence Hall/Dormitory,1950,18978,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",71,113458.6,387120.9,2829.034719,282903.5,,,,,,,,896414.4,,1566438.8,1549582.3,82.5,81.7,2591031.5,2570327.6,136.5,135.4,112,5.9,757.6,
2017,290-8,170-4,2016,No,Single,,,10 Garden St,"11 Garden St
Cambridge, MA
(42.3768986, -71.122526368)",Nonresidential,,,,First Church In Cambridge Congregational,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,746-5,63-128,2016,Yes,Single,,,345 Vassar St,"345 Vassar St
Cambridge, MA
(42.354473992, -71.106412001)",Nonresidential,College/University,2001,26000,Massachusetts Institute Of Technology,,,26384,90022,0,0,,,,,,,,,,90022,,4,,282670,,11,,8,0,9,0
2018,668-26,52A-21,2015,Yes,Single,,,60 Vassar St,"60 Vassar St
Cambridge, MA",College/University,College/University,1957,133545,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,2427940.8,8284134.9,,,,,,,,,3929772.5,16936890.6,,29150798,,218.3,,50317731.5,,376.8,,1966.8,14.7,1363.9,10.21
2017,707-16,95-72,2016,Yes,Single,,,137-149 Sidney St,"24 Emily St
Cambridge, MA
(42.359536835, -71.103948541)",Nonresidential,Laboratory,1954,37116,"MIT 149 Sidney Spe LLC,",C/O MIT Investment Management Comp.,,2060682,7031049,2027,202677,,,,,,,,,,7233726,7255544,195,196,22290304,22313213,601,601,612,17,743,20
2016,665-1,92-124,2015,Yes,Single,,,88 Auburn Park,"66 Brookline St
Cambridge, MA
(42.362463699, -71.102790486)",Residential,Multifamily Housing,2000,6652,Massachusetts Institute Of Technology,C/O Mit Investment Management Comp.,,,,3703.29737,370329.7,,,,,,,,,,370329.7,369519.7,55.7,55.6,388846.2,387995.7,58.5,58.3,19.7,3,369.5,55.55
2018,557-1,41-29,2015,Yes,Parent,"557-1, 557-17",,1 Kendall Sq-2,"500 One Kendall Square
Cambridge, MA",Office,Office,1988,274622,"ARE-Ma Region No.59, Llc",,84,3891068,13276325.6,54972.54745,5497254.7,,,,,,,,,,18773580.3,18980975.4,68.4,18980975.4,47459779.9,47677544.7,172.8,47677544.7,1309.9,4.8,976.1,3.55
2018,457-13,132-152,2015,Yes,Parent,"457-13, 457-7",,20 Dewolfe St,"20 Dewolfe St
Cambridge, MA",Multifamily Housing,Multifamily Housing,1991,65035,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",8,631403.6,2154349.2,38084.15899,3808415.9,,,,,,,,,,5962765.1,6132053.9,91.7,6132053.9,10763493.2,10909484.6,165.5,10909484.6,367.5,5.7,4156.2,63.91
2017,76-32,267F-275,2015,No,Single,,,25-31 Wheeler St,"29 Wheeler St
Cambridge, MA
(42.390031502, -71.144227191)",Residential,,,,"Coppola, Mark D. Trustee",World 114 Nominee Trust,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,318-7,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"10 Harvard Yard
Cambridge, MA
(42.374306358, -71.118769905)",Residential,Residence Hall/Dormitory,1805,28183,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",90,129793.7,442856.1,1418.975383,141897.5,,,,,,,,841959,,1426712.7,1417740.5,50.6,50.3,2552471.9,2541678.1,90.6,90.2,106.3,3.8,536.7,
2017,122-5,204-150,2015,Yes,Parent,"122-5, 122-4",,225 Walden St,"205 Walden St
Cambridge, MA
(42.386712703, -71.129581579)",Residential,Multifamily Housing,1966,229040,"EQR-Walden Park, LLC",C/O Equity Residential,81,1002415,3420240,128790,12879000,,,,,,,,,,16299240,17103954,71,75,24262503,24952476,106,109,976,4,5677,25
2018,667-7,52A-31,2015,Yes,Single,,,71 Vassar St,"77 Vassar St
Cambridge, MA",College/University,College/University,1917,26079,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,901295.9,3075222.1,,,,,,,,,10821023.6,4164671.9,,,,,,,,,,,,0,0
2016,319-21,169-14,2016,Yes,Single,,,51 Brattle St,"51 Brattle St
Cambridge, MA
(42.374324911, -71.12178587)",Nonresidential,Office,2006,46245,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
2017,105-1,266-40,2017,No,,,,640 Concord Ave,"640 Concord Ave
Cambridge, MA
(42.389595823, -71.148187448)",Nonresidential,,,,City Of Cambridge,"C/O Neville Communities Home, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,
2018,665-12,92-130,2015,Yes,Single,,,80 Auburn Pk,"42 Pilgrim St
Cambridge, MA",Multifamily Housing,Multifamily Housing,1990,5750,Massachusetts Institute Of Technology,C/O Mit Investment Management Comp.,,54666,186520.4,1767.546094,176754.6,,,,,,,,,,363275,370469.7,63.2,370469.7,771266.4,778820.8,134.1,778820.8,23.7,4.1,223,38.79
2017,9-3,267.1-274,2016,No,Single,,,195 Concord Tpk,"195 Concord Tpke
Cambridge, MA
(42.399623213, -71.148608857)",Nonresidential,,,,"Martignetti, Carmine A., Et Al Trs","C/O Cam 195 Concord Tpk, LLC &",,,,,,,,,,,,,,,,,,,,,,,,,,
2016,596-2,90-169,2016,Yes,Parent,"596-2, 596-3",,617 Massachusetts Ave,"619 Massachusetts Ave
Cambridge, MA
(42.365210259, -71.103327277)",Nonresidential,Residence Hall/Dormitory,1926,210228,"L&B Cip 625 Mass Ave, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,714-4,67-66,2016,Yes,Single,,,287 Albany St,"281 Albany St
Cambridge, MA
(42.357693937, -71.102794526)",Nonresidential,Laboratory,1950,31768,Massachusetts Institute Of Technology,Office Of The Treasurer,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,720-4,67-67,2015,Yes,Single,,,33 Erie St,"21 Erie St
Cambridge, MA
(42.357853852, -71.103937088)",Nonresidential,Laboratory,1925,51117,BMR-21 Erie Street LLC,c/o Biomed Realty Trust,,2223655.8,7587114.5,52917.9995,5291800,,,,,,,,,,12878914.5,12635367.4,251.9,247.2,29379929.5,28806976,574.8,563.5,1015.1,19.9,385.2,7.54
2017,106-32,204-147,2015,Yes,Child,"106-26, 106-49, 106-46, 106-32, 106-31, 106-28",,181 Walden St,"47 Lincoln Way
Cambridge, MA
(42.387903105, -71.129385536)",Residential,Multifamily Housing,1950,105728,Cambridge Affordable Presidential,Apartments LLC.,80,520593,1776263,45338,4533800,,,,,,,,,100486,6652921,6825310,63,65,10680815,10835193,101,103,422,4,4749,45
2016,662-10,69-110,2015,Yes,Child,"662-9, 662-10",,282 Massachusetts Avenue,"290 Massachusetts Avenue
Cambridge, MA
(42.362024879, -71.098068639)",Nonresidential,College/University,1968,39470,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,211400,721296.9,27850.00005,2785000,,,,,,,,,,3506296.9,,88.8,,5189122.4,,131.5,,217.7,5.5,1291.1,
2017,89-4,264-34,2015,Yes,Single,,,247 Garden St,"241 Garden St
Cambridge, MA
(42.386578969, -71.135417644)",Residential,Multifamily Housing,1972,11147,Briston Arms Preservation,Associates Limited Partnership,,102328,349143,1981,198100,,,,,,,,,,547243,569337,49,51,1304314,1363056,117,122,40,4,531,48
2017,184-4,208-15,2015,Yes,Child,"184-1, 184-2, 184-3, 184-8, 184-4, 184-5, 184-6, 184-7, 188-2, 188-1",,4-46 Fernald Dr,"38 Fernald Dr
Cambridge, MA
(42.3829635, -71.126373199)",Residential,Multifamily Housing,1949,202814,President & Fellows Of Harvard College,C/O Harvard Resl Estate Inc,98,623297,2126688,74717,7471672,,,,,,,,,,9598361,10122647,47,50,14523057,15038872,72,74,579,3,8375,41
2017,76-2,267F-392,2015,Yes,Parent,"76-2, 76-4",,80-90 Fawcett St,"80 Fawcett St
Cambridge, MA
(42.392135095, -71.146125944)",Residential,Multifamily Housing,2013,282578,"Fort Point Investments, LLC","C/O Aew Capital Management, Lp",78,2304921,7864390,144350,14435021,,,,,,,,,,22299411,23002249,79,81,39850957,40588937,141,144,1439,5,7406,26
2016,428-7,115-96,2016,Yes,Parent,"428-7, 428-6, 428-2",,1-6 Crawford St,"1 Crawford St
Cambridge, MA
(42.370977845, -71.107297537)",Residential,Multifamily Housing,1925,35964,"Carretta, Ruth Anne",,100,254735,869155.8,,,,,,,,,,,,2812468.8,2765917.6,78.2,76.9,3119322.1,3068010.2,86.7,85.3,190.7,5.3,1800.9,
2016,69-2,267.4-254,2016,No,Single,,,100 Smith Pl,"100 Smith Pl
Cambridge, MA
(42.393103523, -71.150425558)",Nonresidential,,,,"Jolly Green Giant, Llc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,206-11,213-2A,2015,Yes,Child,"206-13, 206-11, 206-15",,52-70 Linnaean St,"59 Shepard St
Cambridge, MA
(42.3803892, -71.124453091)",Residential,Residence Hall/Dormitory,1901,172773,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,675247.9,2303946.1,136150.986,13615098.6,,4140,,,,,,,,15923184.7,,92.2,,21534425.6,,124.6,,946.4,5.5,2816.4,
2017,438-8,161-85,2015,Yes,Child,"438-6, 438-8, 438-1, 438-7, 438-11",,38 Mt Auburn St,"38 Mt Auburn St
Cambridge, MA
(42.37120045, -71.116583053)",Nonresidential,Residence Hall/Dormitory,1912,217621,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1575029,5374000,4956,495646,,,,,,,,15582424,,21452070,,99,,36141085,,166,,1520,7,5424,25
2017,131-19,153-59,2017,No,,,,2 Newport Rd,"2 Newport Rd
Cambridge, MA
(42.385880336, -71.119179805)",Residential,,,,"Oleary, Donal & Roby M. Fader",X,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,622-1,74-127,2015,Yes,Single,,,119 Windsor St,"119 Windsor St
Cambridge, MA",Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,1997,47454,City Of Cambridge,C/O Cambridge Hospital,,1037881.4,3541251.7,62020.93856,6202093.9,,,,,,,,,,9743345.5,9969738.8,469.5,9969738.8,17631728.8,17778524.8,849.6,17778524.8,600.9,12.7,836.3,40.3
